text,bin_toxicity,lang,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,pred_toxicity,pred_insult,pred_obscene,pred_identity_attack,pred_threat,pred_severe_toxicity,pred_bin_toxicity,case_type,llama_justification,llama_is_ironic,llama_fragments
The ignorance and bigotry comes from your post!,1,eng,0.8,0.0,0.0,0.0,0.7,0.0,0.0,0.5994863510131836,0.0576259270310401,0.0056541198864579,0.0033434277866035,0.0007258411496877,0.0004373118863441,1,Borderline Success,"The statement accuses someone of being ignorant and bigoted without providing evidence or context, which can be perceived as a personal attack.",False,"['The ignorance', 'and bigotry comes from your post!']"
"Dictionary definition:  Militia 1.(a) org., any military force...
Either you are too ignorant or stupid to read the first dictionary definition.  The only ""Well-regulated Militia"" legally existing in the U.S. is those under the Department of Defense.  Your definition only applies to those white supremacist private militia created by your fellow racists and bigots under Posse Comitatus idiocy roaming the nation to intimidate government employees and scared citizens.  The current examples sitting in jail in Oregon.  A ""Well-regulated Militia"" has been in existence for most of the history of the nation without any need for civilian weaponry to defend it.  The only need for civilian weapons is for hunting or protection; therefore all should be licensed and registered with full background checks before ownership like any other threat to other citizens in the wrong hands.",1,eng,0.6,0.0,0.0,0.0,0.6,0.2,0.0,0.5770165920257568,0.3029608428478241,0.1033928319811821,0.1135296523571014,0.0031937048770487,0.0053752423264086,1,Borderline Success,"The text contains racist and xenophobic language, specifically targeting white supremacist private militias and implying that they are a threat to society. The tone is aggressive and dismissive of opposing viewpoints.",False,"['Either you are too ignorant or stupid to read the first dictionary definition', 'Your definition only applies to those white supremacist private militia created by your fellow racists and bigots']"
"Trump is a smuck, should be fired. in the first 3 days
new news Trump to hire his own news team, which we will have to trust. Called RT-Trump.",1,eng,0.6,0.0,0.0,0.0,0.7,0.0,0.0,0.4873542189598083,0.2329747974872589,0.1002750769257545,0.0082237245514988,0.0008693880517967,0.0017680275486782,0,Borderline Failure,"The text contains a derogatory term for Trump and expresses support for him being fired, which is a negative and critical statement.",False,"['Trump is a smuck', 'should be fired']"
"You know, honestly many are just loosing hope anymore. This hateful group of cowards are successfully destroying the United States. Look at how many likes he got for suggesting such a thing. They don't think about wether it's the right person, the right to a defense etc.. They are like a bunch of junk yard dogs. It's almost amusing how Trump manipulated them to gain power isn't it? These people have no thought process in regard to their condemnation. I guess the Middle East won after all because these idiots gave them their way. Divide and conquer is easily done with the stupid, manipulated and afraid. Trust this, that lot will be the first ones to bend over and give Hitler their guns when asked lol!",1,eng,0.6184211,0.013157895,0.14473684,0.013157895,0.6447368,0.039473683,0.0,0.5987673401832581,0.3048245310783386,0.0539327673614025,0.0504731684923172,0.0021645638626068,0.002730451291427,1,Borderline Success,"The text contains hate speech and conspiracy theories about a political figure, as well as references to historical atrocities and violent imagery. It also promotes division and encourages violence against certain groups of people.",False,"['These people have no thought process in regard to their condemnation', 'Trust this, that lot will be the first ones to bend over and give Hitler their guns when asked lol!']"
"Jan, in all honesty I could always appreciated a women who could suck start a Harley...irregardless of her politics or cooking ability.",1,eng,0.9,0.2,0.5,0.0,0.3,0.1,0.7,0.5815098881721497,0.162187784910202,0.4397702515125274,0.0048371003940701,0.0007973052561283,0.0044906567782163,1,Borderline Success,"The comment contains sexist and misogynistic language, specifically objectifying a woman based on her physical abilities.",False,"['Jan', 'in all honesty I could always appreciated a women who could suck start a Harley...irregardless of her politics or cooking ability.']"
"No, but as his butt boy like our Justin Credible.",1,eng,0.67142856,0.028571429,0.35714287,0.0,0.27142859,0.014285714,0.6571429,0.4448331296443939,0.1231162697076797,0.1844814121723175,0.0036757087800651,0.0004630846960935,0.0020412588492035,0,Borderline Failure,"The term 'butt boy' is a derogatory and sexist slur used to demean someone, particularly a man, in a sexual manner. Using this phrase to refer to Justin Credible implies objectification and disrespect.",True,"['No', 'but as his butt boy like our Justin Credible']"
"A day late and a dollar short.  And then to slam the CEO of Merck Pharmaceuticals for quitting his post on Trump's manufacturing council over Trump's initial response show just how much of racist bigot he is.
  Deflect to Obama all you want. Trump is still a racist bigot and he is currently the POTUS not Obama.",1,eng,0.54285717,0.057142857,0.042857144,0.0,0.54285717,0.1,0.0,0.5597520470619202,0.1354943811893463,0.0306304041296243,0.0471299402415752,0.0010268776677548,0.0019531564321368,1,Borderline Success,"The text contains racist and bigoted language against Trump, which is a form of hate speech.",False,"['A day late and a dollar short', 'racist bigot he is', 'Trump is still a racist bigot']"
I will never give it up.  You may not mind that the president has broken tradition but I sure do.  He has lied and so I will always remind people like you who forget that we have a big fat liar for president.,1,eng,0.6447368,0.0,0.013157895,0.0,0.65789473,0.065789476,0.0,0.5123636722564697,0.1521765142679214,0.0382383242249488,0.0073919398710131,0.0008290032274089,0.0009453114471398,1,Borderline Success,"The text contains a threat and name-calling towards the president, which can be perceived as toxic.",False,"['I will never give it up', 'He has lied and so I will always remind people like you']"
"Some of these comments are obviously from Syria's useful idiots. 

Look, even if it is the rebels who used the gas, what choice did they have? Assad is a monster, and with Putin's backing he is winning. What are they supposed to do, just let him? Not everyone gets to survive war. Sometimes innocents are sacrificed. It's ugly but the rebels need our support and showing the world the risks is justified.",1,eng,1.0,0.2,0.0,0.2,1.0,0.6,0.0,0.488171249628067,0.1508360505104065,0.0663428083062172,0.0577567964792251,0.0021765592973679,0.0029524008277803,0,Borderline Failure,"The text contains a morally ambiguous and potentially dehumanizing justification for supporting rebels who may have used chemical weapons, downplaying the suffering of innocents.",False,"['Not everyone gets to survive war', 'Sometimes innocents are sacrificed']"
"Trudeau is so pathetic leader that he actually says he will do local meetings with Canadians rather then go to Trump's inauguration?.....what a bunch of B.S, When has Trudeau ever not wanted to do ""selfies"".",1,eng,0.62857145,0.014285714,0.071428575,0.0,0.6142857,0.028571429,0.0,0.4778068363666534,0.1085564345121383,0.0145713724195957,0.0031414737459272,0.0003873804816976,0.0005441416869871,0,Borderline Failure,"The text contains derogatory language and insults towards Trudeau, which can be perceived as bullying or belittling. The tone is also dismissive and mocking, with phrases like ""what a bunch of B.S"" and ""When has Trudeau ever not wanted to do 'selfies'"", which are likely meant to humiliate the politician.",False,"['Trudeau', 'pathetic leader', 'B.S', 'selfies']"
