,text,bin_toxicity,lang,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,pred_toxicity,pred_insult,pred_obscene,pred_identity_attack,pred_threat,pred_severe_toxicity,pred_bin_toxicity
0,"[ Integrity means that you pay your debts.]

Does this apply to President Trump too?",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008198797586373985,0.00017906827270053327,0.0001695584796834737,0.0001420633343514055,0.0001233542279805988,0.0001087582713807933,0
1,This is malfeasance by the Administrator and the Board.  They are wasting our money!,0,eng,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.15737111866474152,0.004550209268927574,0.002665424020960927,0.0009659312199801207,0.00036100036231800914,0.00020904008124489337,0
2,"@Rmiller101 - Spoken like a true elitist. But look out bud. The re-awakening in Europe, Brexit and now the Trump victory are just the beginning. The unwashed masses are coming for you and your ilk….",0,eng,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.3530944883823395,0.068904347717762,0.007466839160770178,0.027370616793632507,0.002044299151748419,0.0008932089549489319,0
3,"Paul: Thank you for your kind words.  I do, indeed, have strong beliefs and don't hide them.  They are based on both facts and values.  I think the question of ""bias"" and ""prejudice"" comes into play when we're discussing beliefs and attitudes based on values.  One of our poster friends,  for example, often comments that being ""intolerant"" of a bias, for example, is, in itself, a bias.  This is, IMO, where the concept of ""irratonal antipathy"" is important.  If I dislike neo-Nazis because of their views on race, my antipathy is based on fact (knowledge of their views) and values (my belief that condemning others because of their race/religion is WRONG).  Were I to, instead, dislike all Germans, that, IMO, would represent a bias...an irrational antipathy...since not all Germans condemn others because of their race/religion.  I discuss the ""bias"" question in another response to you....

It's an interesting topic and I'd enjoy discussing it w/you sometime.  Give me a call.  Gary Crum",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000831415643915534,0.0001710866781650111,0.00017194266547448933,0.00016908510588109493,0.00011810150317614898,0.0001136895443778485,0
4,Sorry you missed high school. Eisenhower sent troops to Vietnam after the French withdrew in 1954 and before that America was providing 50% of the cost of that war. WWI & WWII were won by Democrat Presidents and the last win a Republican had was 1865  but the did surrender in Korea and Vietnam and fail to win in desert Storm or these two wars.,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013100211508572102,0.00019627637811936438,0.0001860630145529285,0.0001574670459376648,0.000101800738775637,9.441380825592205e-05,0
5,Let’s see if I understand this; Berkowitz announces a $14M surplus then he rails against Proposition 8 because it would constrain his ability to confiscate even more money from citizens. Berkowitz and his allies on the Assembly changed the tax cap language to facilitate confiscating greater amounts of citizen’s money. Now why would a mayor who professes fidelity with the taxpayers change the law to enable him to take more money from them? Probably because he plans to take more money from them.  Berkowitz said if Proposition 8 passes “it severely constrains our ability to give out property tax relief.”  So Berkowitz wants the ability to confiscate more of the citizen’s money to provide property relief. How about taking less of that money in the first place?  Let’s hope Proposition 8 passes.,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0007211682386696339,0.0001766329223755747,0.00017422142263967544,0.0001405732473358512,0.00011731658014468849,0.00011118380643893033,0
6,'Work together'? Dream on. The liberals are already busy creating the next scandal/crime to accuse President Trump of since they lose the policy debate every time. They are sniveling statist traitors and they should be ground into the dirt as they will never ever let up in their qwest to destroy this country by any means available. Of that you can be sure.,0,eng,0.5,0.1,0.0,0.1,0.4,0.1,0.0,0.061280399560928345,0.0022762517910450697,0.0008803613600321114,0.0024526873603463173,0.0006622729124501348,0.0002122697333106771,0
7,What would Jerry Prevo think about that story? Exactly what I think about his....,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007090136059559882,0.00017499926616437733,0.0001821820333134383,0.00013672806380782276,0.00011363047815393656,0.00011322186037432402,0
8,When wil the  indigenous  be accountable and take responsibility instead of blaming others ?  They have to be accountable and pay their own way or go it alone.,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001380701782181859,0.0002093424554914236,0.00015294470358639956,0.0001975777995539829,0.00013226426381152123,0.00010479559568921104,0
9,"the people against O'Leary are the same people against

Trump
Brexit

not a good track record so far
2 down and 1 to go",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002333966549485922,0.00022006644576322287,0.00023632320517208427,0.0001540656085126102,0.00010522869706619531,8.681324834469706e-05,0
10,"Between racist Eastman and 'Slappy' Wilson the Wasilla delegation is an embarassment to the valley and the State. Both should resign. This is Trump's America, open racism in the Republican party and physical attacks on reporters.
Cue the usual racist adn commenters telling us how Eastman actually has a valid point with no evidence beyond an anecdote from the time they did a stint in the bush in 3...2...1....",0,eng,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.013525308109819889,0.0006594675360247493,0.0006746632279828191,0.0006091101677156985,0.0002066524903057143,0.00013737140398006886,0
11,"Since whining is the lifeblood of online comment sites, the Pope's sign will find little support here. The self-pitying ones with their myriad complaints would have you believe that Canada is a dreadful place to live -- why they haven't left for their perfect foreign paradise is a mystery -- when by any relative standard it remains a refuge of stability in a chaotic world, its ongoing issues not likely to be solved by endless griping from anonymous online cranks.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019269105046987534,0.0010746500920504332,0.0006175728631205857,0.00033704921952448785,0.00017720549658406526,0.00010274505621055141,0
12,"Sue blue jeans, get out more and learn about the world, please.  It is not just about you.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021519986912608147,0.0008848832221701741,0.0004988525179214776,0.0003418083942960948,0.0002735033049248159,0.00010363053297623992,0
13,"This debate will never end.  However the real hypocrisy is MD's addressing a very minor issue such as weed, when alcohol creates more havoc than all the illicit drugs combined.  I see Microbreweries popping up everywhere, wine tastings and wine country tours with thousands of acres of land being used to cultivate grapes and not anyone ever complaining or debating the ""medical"" benefit from alcohol.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012053659185767174,0.0005959952250123024,0.00045623263576999307,0.00037940681795589626,0.00017525258590467274,0.0001128012445406057,0
14,IT IS DOA! As Collins announced her intentions to vote NO!,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012575536966323853,0.00019692159548867494,0.00017990992637351155,0.00015140963660087436,0.0001042183066601865,9.750820754561573e-05,0
15,"There are no words for these senseless acts.. God help us all if we do not learn that evil lurks even in the face of these teenagers. Such violence against their peers, should make everyone take pause. Be safe children, be safe. God says you can be the light of the world.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06953568756580353,0.002686434192582965,0.0006898688734509051,0.002157808979973197,0.0008428044966422021,0.0002211739483755082,0
16,What a terrific story.  In Japan they have people who are designated as 'living treasures' because they retain an expertise in sword making or ceramics.  This gentlemen should be considered a living treasure.  I am sure his canoes cost a lot of money given the work involved but it would be amazing to own one.  Thank you for telling us about this.,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005217792931944132,0.0001742907043080777,0.0001821118639782071,0.0001461766951251775,0.00013439886970445514,0.0001344578486168757,0
17,"As Donald himself said, ""Nobody knew that health care could be so complicated.""

So take your time, get it right.  Don't rush it for political reasons.  And keep the promise that ""nobody  will lose coverage.""  Can you do that?",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008308988763019443,0.00017973058857023716,0.0001690605713520199,0.0001442220527678728,0.00012571708066388965,0.00011028480366803706,0
18,"Well here we go again.  Let's continue to subsidize the cost of power, costs that are out of control due to decisions made by the Liberal government.  How nice to know the government has such contempt for the citizens of Ontario that it thinks we won't understand we are being bribed with out own tax dollars - tax dollars we will have to pay back with interest - to make re-election of these corrupt fools possible.  Not enough that the deficit remains large, we will now increase that deficit to buy votes.  This stinks, just like the power plant cancellation last election.  Ontario voters, wake up and throw these bums out!!",0,eng,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.01178771536797285,0.0005832220776937902,0.00040722478297539055,0.0003414963430259377,0.0001718274288577959,0.00010221881530014798,0
19,"Let me guess, you've never been an NFL player right? That's a rhetorical question BTW.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010967301204800606,0.00019667993183247745,0.0002008786832448095,0.0001321266172453761,9.809434413909912e-05,9.550011600367725e-05,0
20,It's a black mark on the previous administrations who allowed massive illegal immigration to go on for far too long. Put the blame where it should be.,0,eng,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.009190136566758156,0.0004353631811682135,0.000483806652482599,0.00038658580160699785,0.00017838999337982386,0.00012710373266600072,0
21,In the last decades the rich have god significant richer and poor poorer - at least in the current policy environment they are mutually exclusive.,0,eng,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0013896721648052335,0.00023683838662691414,0.00014313834253698587,0.00022725820599589497,0.00010142903920495883,0.00010369242227170616,0
22,"Kitty Piercy did her best to make the almighty ""legacy"" (city) hall larger-than-life, at the city council work session on 7-11.  Move the slide time-bar to 11:18 minutes, on the webcast of that meeting:

http://ceapps.eugene-or.gov/CEWebcast/WebCast/Play.aspx?mid=2996",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006370503688231111,0.00017820553330238909,0.000180942501174286,0.00013650933397002518,0.00011634314432740211,0.00011711763363564387,0
23,Where is all that anger coming from?  A jaded relationship?,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008829939179122448,0.0003727757139131427,0.0005202660104259849,0.00020057895744685084,0.00012304408301133662,0.00010620421380735934,0
24,"Exclude the more radical fringes on all sides and most of the discord goes away.
As I see it, ""corporations are people"" needs to be suspended and a new moderate party needs to be formed.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007590567227452993,0.0003566697414498776,0.00028449107776395977,0.0004160919052083045,0.00021062021551188082,0.00011414644541218877,0
25,"Ignorance is bliss, ain't it?",0,eng,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.12706755101680756,0.003615958383306861,0.002555818995460868,0.0007221564883366227,0.00042082768050022423,0.00018245911633130163,0
26,"Jjfoxy,
Why would 90% of articles print fake news to discredit Trump? Where are you getting your news from? Please Trump followers, where are you receiving news to compare with the majority? List them I will go read them. If you don't have truth, how do you know which is a lie?",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006139710079878569,0.00034201244125142694,0.0003374741063453257,0.00020019225485157222,0.000127494364278391,8.738324686419219e-05,0
27,Lets make some fact based statements. Half of them under 21???? fake news,0,eng,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.038256172090768814,0.001252812216989696,0.0008458170341327786,0.0003956349682994187,0.00023327546659857035,0.00010775281407404691,0
28,"How about introducing Vukovich to you, Bob1946?",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006269626901485026,0.00017619876598473638,0.00017833386664278805,0.00013909202243667096,0.0001289817737415433,0.00011976039240835235,0
29,The president makes himself an easy target.,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007499558269046247,0.00017848935385700315,0.00017799173656385392,0.00014421380183193833,0.00011675523273879662,0.00011454333434812725,0
30,"That is point I'm trying to make. We seem to be voting for the same dysfunction election after election. Your numbers seem to indicate that our residents, many of whom are at or below the median income, are voting, time after time, against their interests. All I was attempting to posit was that we should try thinking outside of the box to resolve some our problems and we can't do that by electing the same politicians over and over again. Thanks for your response.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006111253169365227,0.00017304826178587973,0.0001753383403411135,0.00013943183876108378,0.00012592319399118423,0.00011950817133765668,0
31,"You can also find out the airline you thought you were going to fly with has subcontracted the entire flight to another carrier.  Norwegian Air did this to me last March so I got the privilege of flying with a Spanish company I'd never heard of....old plane, worn out seats, etc. I'd wouldn't't have booked this airline in the first place but wasn't warned of this or else would have rebooked.   So Norwegian Air you lost me for good.....",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010091022122651339,0.0001889557606773451,0.00016974611207842827,0.00014656329585704952,0.00012270465958863497,0.00010347778152208775,0
32,this is *&^%ing outrageous. The prosecutor should be immediately removed from his job.,0,eng,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.05210619047284126,0.0014242056058719754,0.0018200853373855352,0.0004635937511920929,0.0003686938143800944,0.00015532234101556242,0
33,"I believe we have reached any reasonable limit of decency in interfering with the private life of our politicians. Are we really so naive to believe that if the PM would have had the intention of doing a favor to an old friend a free helicopter ride was the thing that had him made it.?  It is pure witch hunt and then we are surprised why the best do not show up for public service. Would any of us have his/her own life thrown apart for a bunch of whiners never happy wanting everything without paying for anything. I am paying probably more taxes than I would like but I am happy and proud to live in a country that is protecting the weakest. This is insane we have completely lost a real perspective. This is not the measurement of the success of a politician, if he takes a free helicopter ride. But unfortunately it is much easier to blame someone else than look at yourself and be honest about our shortcomings. Who is without sin throw the first stone",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019581982865929604,0.001443430781364441,0.0005409293225966394,0.0003983070491813123,0.00015914709365461022,0.0001089116558432579,0
34,"Don’t get it do you. As the price of things go up especially eating out people will respond by not tipping, and layoffs will ensue. I will be dropping my tip rate to 0. After all you are being paid right, so I don’t need to. 

Timmy’s has already started to raise prices, and I understand from a number of franchises getting ready to cut staff. McDonald’s is moving up their automation timelines.",0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00914627593010664,0.0005015936330892146,0.0005134959938004613,0.00022717435786034912,0.0002138457348337397,0.0001023884688038379,0
