text,bin_toxicity,lang,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,pred_toxicity,pred_insult,pred_obscene,pred_identity_attack,pred_threat,pred_severe_toxicity,pred_bin_toxicity,llama_justification,llama_is_ironic,llama_fragments
"An ""abject lesson"" is a lesson that is painful or humiliating.  ""Object"" on the other hand is a noun--it is not even an adjective, it is not a descriptor of any kind per se.  It is entertaining though, to see a semi-literate boob getting advice from another semi-literate boob.",1,eng,0.7,0.0,0.0,0.0,0.7,0.1,0.0,0.2489658892154693,0.0467334948480129,0.0318616107106208,0.0010731728980317,0.0003305347345303,0.0005837220232933,0,The text contains sarcasm/irony towards individuals who are perceived as uneducated or lacking in literacy skills.,True,"['semi-literate boob getting advice', 'another semi-literate boob']"
"Only in America can you get 25 likes for admitting you are pathetic. But seriously financial destitution is a pretty common thing in a state where booms and busts happen with great regularity. The weird thing is an occasional bust might not be such a bad thing, If Alaska became the ""Land of Milk and Honey""
everyone would want to live here. A huge influx of people would slowly destroy the wilderness that keeps many of us here. But perhaps more importantly with the pressures bust's produce comes innovation and a role up your sleeves attitude which often leads to prosperity of the soul if not the pocketbook. The pathetic thing is when people get too comfortable they get lazy and complacent. This can happen to individuals and even to the things humans create like pipelines, legislative bodies or permanent funds. We live in chaotic times but we might end up better for it with some time out to think.",1,eng,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.3360453248023987,0.1278524398803711,0.0092629436403512,0.0034466327633708,0.0004539998772088,0.0004646411107387,0,"The text discusses financial destitution and its potential benefits, but also touches on the dangers of complacency and the importance of innovation. While it may be a bleak outlook, the tone is not toxic.",False,['Only in America can you get 25 likes for admitting you are pathetic.']
"""Just saw headlines on a couple of sites where Pres. Elect Trump is saying again that the election was rigged and that he would otherwise have also won the popular vote.""

I saw those stories as well. I've come across sore losers before, but Trump seems to be a sore winner.",1,eng,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0100009059533476,0.000860083673615,0.0005065975128673,0.0002858420193661,0.0001142907494795,0.0001057571134879,0,"The user's comment about Trump being a 'sore winner' implies that winning is not something to be celebrated or taken seriously, which can be perceived as mocking or belittling of Trump's victory. This tone may be seen as toxic.",True,"[""I've come across sore losers before"", 'Trump seems to be a sore winner']"
"Who cares?  In all seriousness she, as with all Trudeau ministers , will be shuffled. Why? Simple, they're inexperienced in the field and well.... useless in every sense of the term. How can anyone think a lawyer would make a good environmental minster. In the end we the taxpayer have to deal with the mistakes of these incompetents.",1,eng,0.7,0.0,0.1,0.0,0.4,0.0,0.0,0.0276335421949625,0.001535726361908,0.0005812021554447,0.0004319620202295,0.0001681785506661,0.0001080797519534,0,"The text contains derogatory language towards Trudeau ministers and lawyers, making it toxic.",False,"['Who cares?', 'useless in every sense of the term', 'incompetents']"
"You know? I've been listening to your silliness for a couple of years. All of your buzz-words; ""beak dipping"" ""Kool-aid"" and I haven't heard anything of substance. When was the last time YOU made a decision that benefitted some people and had the possibility of harming others? When was the last time you actually did anything? Did you even go out and run this morning? Did you say ""Hi"" to your neighbor? Think not. You were up at 0100 waiting to spew venom. Suggestion: Try getting a real life.",1,eng,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.2971598207950592,0.0382231883704662,0.0052221124060451,0.001064472249709,0.0006153209251351,0.0002748857077676,0,"The text contains a scathing critique of someone's behavior and lack of action, with a tone that is more aggressive than ironic. The language used is confrontational and dismissive, which can be perceived as toxic.",False,"['When was the last time YOU made a decision that benefitted some people and had the possibility of harming others?', 'Try getting a real life.']"
Trump doesn't need no damn intelligence...he's already smart!  Said so himself.,1,eng,0.7714286,0.014285714,0.8,0.0,0.3857143,0.014285714,0.0,0.2329363375902176,0.0156100383028388,0.1794026792049408,0.0010106753325089,0.0005642117466777,0.0011734918225556,0,"The statement is derogatory and insulting towards Donald Trump, using a phrase that implies he lacks intelligence. This kind of language can be considered toxic.",False,"[""Trump doesn't need no damn intelligence"", ""he's already smart!""]"
"Michael T,
Most people accept and ask for forgiveness without blaming  someone else for their wrong doing.
Don't you think it is so untruthful/cowardice of Catholic clergies and their aids always blame someone else for their sins or point to others wrong doing instead?
   
""Let us hope that a reorganized SNAP or some new org of another name emerges that will work for the good of victims and be helpful to the Church in addressing the problems. Must not be angry all the time.""
 
Sure what to be angry all the time for, it just the clergies raped children, ruins children's/their families' lives or children kill themselves! Every parent knows instantly what to do with the rapist! Why is it that CI clergy claim that they do not know what to do?  Is it really a sane person to pass the rapist around and around for thirty years to you?",1,eng,0.6,0.1,0.0,0.0,0.5,0.4,0.3,0.0248305425047874,0.0012133463751524,0.0005827419809065,0.0020844868849962,0.0003428847703617,0.0001817836309783,0,"The text contains several toxic elements, including blaming and shaming of Catholic clergies and their aids for their alleged wrongdoings. The tone is aggressive and accusatory, with phrases like ""untruthful/cowardice"" and ""pass the rapist around and around for thirty years to you"", which can be perceived as hurtful and inflammatory.",False,"[""Don't you think it is so untruthful/cowardice of Catholic clergies and their aids always blame someone else for their sins or point to others wrong doing instead?"", 'Is it really a sane person to pass the rapist around and around for thirty years to you?']"
"""hadn't been out hunting it..."" he said!
but he was at a far enough distance away  that he couldn't identify it, so the first thing that entered his feeble mind was...
                          KILL IT!!!!
why was he carrying a rifle large enough to kill a buffalo? afraid of bear? they are asleep.
why did he shoot it from a distance that he couldn't tell what he was shooting at? why did he shoot at all? if he is so ignorant to do something like this, he probably would have taken a shot at a human being also.",1,eng,0.6375,0.025,0.025,0.375,0.45,0.0,0.0,0.2066991329193115,0.0155129665508866,0.0046581621281802,0.0033498471602797,0.0028969391714781,0.000465571793029,0,"The text contains a critique of the hunter's actions and implies that they were reckless and potentially dangerous. The tone is critical and questioning, which may be perceived as toxic.",False,"['KILL IT!!!!', ""why did he shoot it from a distance that he couldn't tell what he was shooting at?""]"
"It's great that their community can preserve something important to them.  The one issue I'd take up with the author is with his repeated reference to lack of government support:
""Despite virtually no government support for our language""
""Governments have not considered our language worth supporting""
It's not the government's role to preserve someone's culture.  Silly assumption.",1,eng,0.6,0.0,0.0,0.0,0.6,0.1,0.0,0.0070152459666132,0.0004621674888767,0.000418684881879,0.0002046746812993,0.0001261533470824,9.58751406869851e-05,0,"The statement implies that preserving a culture through community effort is not a valid alternative to government support, which can be seen as dismissive and condescending towards communities that rely on their own efforts.",False,"[""It's not the government's role to preserve someone's culture.  Silly assumption.""]"
"More baloney.  WA Post reported emails of Manafort turning down efforts regarding Russia. AND, there is nothing wrong with any candidate having contact with a foreign leader.  Last, there is no way Putin himself would have been involved in any ""collusion"" directly.  Like saying Don Corleone was going to directly rub out someone.",1,eng,0.6,0.0,0.0,0.0,0.6,0.1,0.0,0.0009856659453362,0.0001799924648366,0.0001890799467219,0.0001483240484958,0.0001032681102515,0.0001025024685077,0,"The text contains a comparison between Putin and Don Corleone, which implies that Putin is involved in illegal activities or has a mafia-like influence, which can be perceived as toxic.",False,['Like saying Don Corleone was going to directly rub out someone.']
"C:  Yeah, this issue is about Anchorage, not the federal government.  Apparently you don't understand the difference.  You have no idea who anyone voted for but that doesn't stop your inane rantings.  You need to get a life.",1,eng,0.6,0.0,0.1,0.0,0.6,0.0,0.0,0.3823457062244415,0.0470498800277709,0.0036143818870186,0.001228884444572,0.0006906210910528,0.0002767285332083,0,"The user is using a condescending tone and making assumptions about another person's understanding, which can be perceived as belittling or insulting.",False,"['You have no idea who anyone voted for', 'You need to get a life']"
